Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",126.250000,-68.550000,0.000000,top
"C2","22u","C_0805_2012Metric",131.000000,-72.300000,90.000000,top
"C3","10u","C_0603_1608Metric",118.000000,-71.500000,180.000000,top
"C4","100n","C_01005_0402Metric",108.500000,-62.000000,90.000000,top
"C5","100n","C_01005_0402Metric",120.500000,-62.500000,-90.000000,top
"C6","100n","C_01005_0402Metric",112.000000,-59.250000,0.000000,top
"C7","10n","C_0402_1005Metric",108.250000,-66.000000,90.000000,top
"C8","1u","C_0402_1005Metric",107.750000,-69.337500,180.000000,top
"C9","1u","C_0402_1005Metric",107.750000,-70.837500,180.000000,top
"C10","100n","C_0402_1005Metric",112.020000,-71.500000,0.000000,top
"C11","10p","C_0402_1005Metric",106.250000,-62.480000,90.000000,top
"C12","10p","C_0402_1005Metric",106.250000,-64.480000,90.000000,top
"D1","RED","LED_0603_1608Metric",134.750000,-72.462500,-90.000000,top
"FB1","120R","L_0603_1608Metric",109.750000,-70.125000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",136.000000,-63.750000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",132.300000,-52.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",116.300000,-52.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",110.200000,-79.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",135.260000,-69.750000,180.000000,top
"R2","1k5","R_0402_1005Metric",112.760000,-75.250000,180.000000,top
"R3","1k5","R_0402_1005Metric",115.260000,-75.250000,0.000000,top
"U1","STM32L412CBT6","LQFP-48_7x7mm_P0.5mm",114.500000,-65.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",125.750000,-74.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",103.500000,-63.500000,-90.000000,top
